zip,temp-sun-6,condition-sun-6,temp-mon-9,condition-mon-9,temp-mon-12,condition-mon-12,temp-mon-3,condition-mon-3,temp-mon-6,condition-mon-6,temp-tues-9,condition-tues-9,temp-tues-12,condition-tues-12,temp-tues-3,condition-tues-3,temp-tues-6,condition-tues-6
32147,71,Partly Cloudy,70,Mostly Cloudy,78,Mostly Cloudy,77,Mostly Cloudy,71,Overcast,68,Mostly Cloudy,75,Overcast,75,Mostly Cloudy,68,Partly Cloudy
32148
32149,71,Partly Cloudy,70,Mostly Cloudy,78,Mostly Cloudy,77,Overcast,71,Overcast,68,Mostly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,69,Partly Cloudy
32157
32158,73,Partly Cloudy,71,Mostly Cloudy,79,Mostly Cloudy,79,Partly Cloudy,73,Overcast,69,Partly Cloudy,77,Partly Cloudy,79,Partly Cloudy,73,Partly Cloudy
32159,74,Partly Cloudy,71,Mostly Cloudy,79,Mostly Cloudy,79,Partly Cloudy,73,Mostly Cloudy,69,Partly Cloudy,77,Partly Cloudy,78,Partly Cloudy,73,Partly Cloudy
32160,70,Partly Cloudy,69,Mostly Cloudy,77,Mostly Cloudy,76,Overcast,70,Overcast,67,Mostly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,68,Partly Cloudy
32162
32164
32168,73,Partly Cloudy,74,Overcast,77,Overcast,76,Overcast,72,Overcast,74,Overcast,77,Overcast,77,Mostly Cloudy,71,Mostly Cloudy
32169
32170,74,Partly Cloudy,75,Overcast,77,Overcast,76,Overcast,72,Mostly Cloudy,74,Overcast,77,Overcast,76,Overcast,72,Mostly Cloudy
32173,74,Partly Cloudy,75,Overcast,77,Overcast,76,Mostly Cloudy,73,Overcast,73,Overcast,76,Overcast,76,Overcast,72,Mostly Cloudy
32174,74,Mostly Cloudy,75,Overcast,77,Mostly Cloudy,76,Mostly Cloudy,73,Overcast,73,Overcast,75,Overcast,75,Overcast,71,Mostly Cloudy
32175,74,Partly Cloudy,75,Overcast,77,Overcast,76,Mostly Cloudy,73,Overcast,73,Overcast,76,Overcast,76,Overcast,72,Mostly Cloudy
32176
32177
32178,72,Partly Cloudy,70,Overcast,78,Mostly Cloudy,76,Overcast,70,Overcast,68,Mostly Cloudy,75,Overcast,75,Overcast,68,Partly Cloudy
32179
32180,72,Partly Cloudy,72,Overcast,77,Mostly Cloudy,76,Overcast,71,Overcast,71,Mostly Cloudy,75,Overcast,75,Overcast,70,Partly Cloudy
32181
32182,72,Partly Cloudy,70,Mostly Cloudy,78,Partly Cloudy,77,Mostly Cloudy,71,Overcast,67,Mostly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,70,Partly Cloudy
32183
32185,69,Mostly Cloudy,69,Mostly Cloudy,77,Mostly Cloudy,76,Overcast,70,Overcast,67,Mostly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,68,Partly Cloudy
32187,72,Partly Cloudy,72,Overcast,77,Mostly Cloudy,76,Overcast,71,Overcast,69,Overcast,75,Overcast,75,Overcast,69,Partly Cloudy
32189,72,Partly Cloudy,71,Overcast,78,Mostly Cloudy,76,Overcast,71,Overcast,68,Overcast,75,Overcast,75,Overcast,69,Partly Cloudy
32190,72,Partly Cloudy,72,Overcast,77,Mostly Cloudy,76,Overcast,71,Overcast,70,Overcast,75,Overcast,75,Overcast,70,Partly Cloudy
32192,73,Clear,69,Mostly Cloudy,78,Mostly Cloudy,78,Mostly Cloudy,72,Overcast,67,Mostly Cloudy,76,Mostly Cloudy,77,Mostly Cloudy,71,Partly Cloudy
32193,71,Partly Cloudy,71,Overcast,78,Mostly Cloudy,77,Overcast,71,Overcast,68,Mostly Cloudy,75,Overcast,75,Overcast,69,Partly Cloudy
32195,74,Partly Cloudy,71,Mostly Cloudy,79,Mostly Cloudy,79,Partly Cloudy,72,Mostly Cloudy,69,Mostly Cloudy,77,Partly Cloudy,78,Partly Cloudy,72,Partly Cloudy
32198
32201
32202,69,Overcast,71,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Partly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32203,69,Overcast,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,70,Partly Cloudy,69,Mostly Cloudy,74,Mostly Cloudy,73,Partly Cloudy,68,Partly Cloudy
32204,69,Overcast,71,Mostly Cloudy,76,Mostly Cloudy,76,Overcast,71,Mostly Cloudy,67,Partly Cloudy,75,Partly Cloudy,75,Partly Cloudy,70,Partly Cloudy
32205
32206,69,Overcast,71,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,71,Mostly Cloudy,67,Mostly Cloudy,74,Mostly Cloudy,74,Partly Cloudy,69,Partly Cloudy
32207,69,Overcast,72,Mostly Cloudy,76,Mostly Cloudy,75,Overcast,71,Partly Cloudy,67,Partly Cloudy,75,Partly Cloudy,75,Partly Cloudy,69,Partly Cloudy
